0,0-0,9
1,0-0,9
2,0-0,9
3,1-0,4
3,0-0,9
0,2-0,1
0,1-0,5
1,1-0,5
0,4-0,0
1,4-0,0
3,4-0,0
0,5-0,0
1,5-0,0
2,4-0,0
0,6-0,0
2,5-0,0
3,6-0,0
3,7-0,0
1,7-0,1
3,8-0,0
1,8-0,0
2,8-0,0
3,9-0,0
3,10-0,0
2,9-0,0
1,10-0,0
3,11-0,0
2,10-0,0
0,11-0,0
3,12-0,0
2,11-0,0
0,12-0,0
1,13-0,0
0,13-0,0
1,14-0,0
3,14-0,0
2,13-0,0
0,14-0,0
1,15-0,0
3,15-0,0
0,15-0,0
1,16-0,0
3,16-0,0
0,16-0,0
1,17-0,0
3,17-0,0
0,17-0,0
3,18-0,0
3,19-0,0
2,18-0,0
3,20-0,0
1,21-0,0
3,21-0,0
0,21-0,0
1,22-0,0
3,22-0,0
2,21-0,0
0,22-0,0
1,23-0,0
2,22-0,0
3,24-0,0
2,23-0,0
0,24-0,0
1,24-0,0
3,25-0,0
1,25-0,0
3,26-0,0
2,25-0,0
0,26-0,0
1,26-0,0
3,27-0,0
2,26-0,0
0,27-0,0
1,27-0,0
3,28-0,0
2,27-0,0
0,28-0,0
2,28-0,0
1,29-0,0
1,31-0,0
3,31-0,0
2,30-0,0
0,31-0,0
1,32-0,0
2,31-0,0
3,32-0,0
1,33-0,0
3,33-0,0
1,34-0,0
3,34-0,0
1,35-0,0
3,35-0,0
2,34-0,0
0,34-0,0
1,36-0,0
3,36-0,0
0,35-0,0
1,37-0,0
3,37-0,0
2,36-0,0
3,38-0,0
0,37-0,0
0,38-0,0
3,39-0,1
1,39-0,0
2,38-0,0
3,40-0,0
0,39-0,0
2,39-0,0
3,41-0,0
0,40-0,0
1,41-0,0
2,40-0,0
3,42-0,0
0,41-0,0
2,41-0,0
3,43-0,0
0,42-0,0
1,43-0,0
2,42-0,0
3,44-0,0
2,43-0,0
3,45-0,0
2,44-0,0
0,44-0,0
1,46-0,0
3,46-0,0
0,45-0,0
1,47-0,0
3,47-0,0
3,48-0,0
0,47-0,0
1,49-0,0
3,49-0,0
1,50-0,0
3,50-0,0
2,49-0,0
0,49-0,0
1,51-0,0
3,51-0,0
2,50-0,0
3,52-0,0
0,51-0,0
3,53-0,0
0,52-0,0
1,54-0,0
3,54-0,0
2,53-0,0
1,55-0,0
2,54-0,0
1,56-0,0
3,56-0,0
0,55-0,0
3,57-0,0
2,56-0,0
1,58-0,0
2,57-0,0
0,57-0,0
1,59-0,0
2,58-0,0
0,58-0,0
2,59-0,0
1,61-0,0
3,61-0,0
2,60-0,0
3,62-0,0
2,61-0,0
0,61-0,0
1,63-0,0
2,62-0,0
0,62-0,0
1,64-0,0
3,64-0,0
2,63-0,0
3,65-0,0
2,64-0,0
1,66-0,0
3,66-0,0
0,65-0,0
1,67-0,0
2,66-0,0
1,68-0,0
3,69-0,0
2,67-0,0
1,69-0,0
2,68-0,0
1,70-0,0
2,69-0,0
1,71-0,0
3,72-0,0
3,2-0,218
2,70-0,0
1,72-0,0
3,73-0,0
2,71-0,0
1,73-0,0
